Rank,Team,Name,Nr,Pos,Spiele,Assists
321,SV Empor Berlin II,Pascal Bräkow,2,RV,27,0
322,SV Empor Berlin II,Malte Bohn,NA,NA,1,0
323,SV Empor Berlin II,Pjotr Xaver Strelets,NA,LV,3,0
324,FC Internationale Berlin 1980,Amin Malik Chahed,77,NA,8,0
325,Berliner SV 1892,Niklas Jost,4,IV,24,0
326,Berliner SV 1892,Mario Mikic,14,RV,4,0
327,Berliner SV 1892,Firooz Ahmadi,NA,NA,1,0
328,FC Viktoria 1889 Berlin II,Oskar Schlembach,21,ZDM,12,0
329,BSV Al-Dersimspor,Ibrahim Hassan,NA,IV,3,0
330,Berliner SC II,Eric Herbst,NA,NA,1,0
331,Berliner SV 1892,Jonathan Maurer,NA,ZM,13,0
332,BSV Al-Dersimspor,Baran Egilmez,NA,LV,3,0
333,SV Stern Britz 1889,Gianfranco Manzari,NA,NA,0,0
334,Berliner SV 1892,Joshua Tröger,24,RV,17,0
335,Türkiyemspor Berlin,Muzaffer Kirimoglu,9,ST,9,0
336,TSV Rudow Berlin,Samet Sennur,11,ST,12,0
337,FC Internationale Berlin 1980,Jasper Büll,NA,NA,1,0
338,VfB Concordia Britz 1916,Jordy Gase,25,ST,23,0
339,BSV Al-Dersimspor,Safak Höbek,NA,NA,1,0
340,FC Viktoria 1889 Berlin II,Jakob Klautzsch,NA,LV,3,0
341,SV Empor Berlin II,Tilman Schinzel,14,IV,17,0
342,FC Viktoria 1889 Berlin II,Simon Stefanovic,7,LV,23,0
343,Köpenicker FC,Rayk Stahnke,26,ZM,11,0
344,VfB Concordia Britz 1916,Deniz Gassen,10,ZM,8,0
345,BFC Meteor 06,Julius Böke,NA,NA,0,0
346,Berliner SC II,Jakob Oevermann,15,IV,4,0
347,FC Internationale Berlin 1980,Thomaz Klingl,10,ST,1,0
348,Berliner SV 1892,Soner Gültepe,26,NA,6,0
349,SV Empor Berlin II,Falk Marquard,NA,ZDM,4,0
350,SC Borsigwalde 1910,Cengiz Devecioglu,NA,NA,0,0
351,SV Empor Berlin II,Jonathan Stolp,7,RM,10,0
352,FSV Berolina Stralau 1901,Lucas Hufnagel,NA,NA,1,0
353,SV Empor Berlin II,Hong Phuc Dinh,17,LM,5,0
354,Türkiyemspor Berlin,Oguzhan Codura,10,ST,5,0
