Rank,Team,Name,Nr,Pos,Spiele,Assists
382,SV Empor Berlin II,Maurice Meyer,NA,NA,1,0
383,SV Empor Berlin II,Tjerk Ortmann,NA,NA,0,0
384,SV Empor Berlin II,Dennis Seiler,NA,NA,0,0
385,SV Empor Berlin II,Elias Thürigen,NA,NA,0,0
386,SC Borsigwalde 1910,Daniel Mpembele Nzongo,NA,NA,1,0
387,SC Borsigwalde 1910,David Mpembele Nzongo,NA,NA,1,0
388,SC Borsigwalde 1910,Khaled El-Okkla,NA,IV,1,0
389,SC Borsigwalde 1910,David Chukwu,NA,NA,0,0
390,SC Borsigwalde 1910,David Viedt,NA,NA,1,0
391,SC Borsigwalde 1910,Pascal Eckert,NA,NA,0,0
392,SC Borsigwalde 1910,Mostafa Kassem,NA,LV,1,0
393,SC Borsigwalde 1910,Ahmad Chehade,NA,NA,0,0
394,SC Borsigwalde 1910,Philip Bartoschek,NA,NA,0,0
395,SC Borsigwalde 1910,Mohammed Yaqoobi,NA,NA,0,0
396,SC Borsigwalde 1910,Islam Umalatov,NA,NA,0,0
397,SC Borsigwalde 1910,Hebun Aslan,NA,ZM,0,0
398,SC Borsigwalde 1910,Wilfred Arnaud Njankou Tchouwa,NA,NA,0,0
399,SC Borsigwalde 1910,Prince Selemani Angali,NA,RV,1,0
400,SC Borsigwalde 1910,Mehdi Bencheikh,NA,NA,0,0
401,SC Borsigwalde 1910,Oskar Denis Cuesta,NA,NA,0,0
402,SC Borsigwalde 1910,Ezher Akbulut,NA,NA,0,0
403,SC Borsigwalde 1910,Nick Thalke,NA,RM,1,0
404,SC Borsigwalde 1910,Adam Barnat,NA,NA,0,0
405,SC Borsigwalde 1910,Joel Santiago Knopf,NA,NA,0,0
406,SC Borsigwalde 1910,Sadjad Rassuli,NA,ZOM,1,0
407,SC Borsigwalde 1910,Mohammad Kassem,NA,LV,0,0
408,SC Borsigwalde 1910,Johan Ferney Marin Macareno,NA,NA,0,0
409,SC Borsigwalde 1910,Alexander Wegner,NA,NA,0,0
410,SC Borsigwalde 1910,Dariusz Duhnke,NA,NA,1,0
411,SC Borsigwalde 1910,Marcel Bubner,NA,ST,1,0
412,SC Borsigwalde 1910,Nikola Siljanoski,NA,TW,1,0
